attraction_by_bus,latitude,longitude,StationName,Station_Latitude,Station_Longitude,Distance_km
Ministry of Interior (FSF) project,24.773121,46.851028,Ibnul-Haitham 104,24.7839501,46.8187463,3.474421031786876
الإدارة العامة للخدمات الطبية (وزارة الداخلية),24.569527,46.630859,As-Suwaidi Al-Gharbi 601,24.5810653,46.6168769,1.909244050075084
Saudi Broadcasting Corporation (هيئة الإذاعة والتلفزيون),24.643877,46.695303,Madina Munwarah 321,24.6289022,46.7158802,2.664244321960617
Banque Saudi Fransi - Private Banking Head Office (البنك السعودي الفرنسي - المكتب الرئيسي),24.713659,46.675551,Takhassusi 107,24.7246925,46.6534653,2.545902308254165
Alinma Bank Head Office (مصرف الإنماء المركز الرئيسي),24.706713,46.675141,King Abdullah 405,24.7172833,46.6385443,3.87905287125178
The Saudi Investment Bank (SAIB) - Head Office (البنك السعودي للاستثمار - الإدارة العامة),24.683311,46.71096,King Abdulaziz 08 A,24.7091719,46.709053,2.882047172210095
مركز صحي حي الملك فهد - وزارة الصحه,24.616628,46.551857,Khadijah Bint Khuwailid 411,24.5855909,46.5596722,3.540461052406351
Ministry of Media (وزارة الإعلام),24.642629,46.697153,Al Batha 106A,24.6181309,46.7250341,3.919511107582054
Luxury Events Office,24.609838,46.666544,Madina Munwarah 415,24.6153951,46.6872959,2.18696763029597
CST (هيئة الاتصالات والفضاء والتقنية),24.736627,46.633871,KSU 604,24.7110815,46.6288784,2.8849423145985056
Executive Office (المكتب التنفيذي),24.940704,46.713573,NaN,NaN,NaN,NaN
وزارة التربية والتعليم - وحدة التطوير الإداري (القسم النسائي),24.710642,46.84033,Hassan Bin Thabit 210,24.7164836,46.8459204,0.8606957265155889
Medical Tower 1 - KSMC,24.627908,46.69131,Madina Munwarah 320,24.6263953,46.711721,2.069999320860389
Al Kessaey Clinic,24.810156,46.736549,Abi Jafar Al Mansoor 401,24.7867964,46.7297143,2.687529326228536
HBR Clinic,24.777288,46.751288,Al-Hamra 506,24.7913716,46.7668776,2.220210257819273
Thuriah Medical Center,24.675457,46.680572,King Faisal 204,24.6598227,46.7043459,2.965343741958356
ALSUBHI CLINIC (عيادات الصبحي),24.748991,46.77825,Ibn Al Talaa 201,24.7408965,46.7986061,2.244073111911584
Nebras Medical Centre (مركز نبراس الطبي),24.807604,46.802246,Olaya 201,24.8296873,46.6166613,18.890424042358944
‪Aesthetica Clinic (عيادات اسثتيكا),24.824755,46.640024,Unayzah 208,24.6857159,46.7909435,21.70858742844397
Light Clinic (عيادات لايت),24.695917,46.772279,Salahuddin Al Ayubi 103,24.6805083,46.7258336,4.995449232633987
Care Medical Center (عيادات كير),24.690541,46.700302,Madina Munwarah 413,24.6074077,46.6546241,10.332576206995244
King Salman Hospital,24.60649972,46.64203361,Zubair Bin Al-'Awam 410,24.7113589,46.8179558,21.26030006244659
Mohammed B. Naif Medical Center (مركز الأمير محمد بن نايف الطبي),24.711178,46.802364,Mali 401,24.6031198,46.7409612,13.523183399738375
My Health,24.607995,46.732294,Othman Bin Affan 207,24.8036121,46.6952459,22.071237028771275
OxyHealth Clinics,24.789352,46.681015,NaN,NaN,NaN,NaN
Specialized Medical Center (مستشفى التخصصي الطبي),24.679763,46.687368,King Faisal 202,24.6664761,46.7018575,2.0799779090775923
Kingdom Schools (مدارس المملكة),24.791011,46.659253,King Fahd 201,24.7760469,46.6400624,2.553828118209611
Almajd Private Schools (مدارس المجد الأهلية),24.595507,46.635057,Ibn Al Muqaffa 201,24.585983,46.6121967,2.542461102128171
Almotaqadimah Private Schools (مدارس المتقدمة الاهلية),24.784652,46.744273,Al-Hamra 605,24.7882644,46.758694,1.5102165802400658
روضة مدارس الرياض,24.6588,46.691331,King Faisal 207,24.6473232,46.7126912,2.507661632339522
SDS Saudi Driving School (المدرسة السعودية للقيادة),24.860835,46.725804,NaN,NaN,NaN,NaN
Rwdat Abu Bader Alshamry (روضة ابو بدر الشمري),24.896457,46.706279,NaN,NaN,NaN,NaN
الي روضة خريم,24.7853,46.846867,NaN,NaN,NaN,NaN
KSU girls campus,24.72538599,46.63853246,KSU 504,24.7119465,46.6299744,1.7264008562090785
International Riding School (مدرسة الفروسية الدولية),24.661639,46.755912,NaN,NaN,NaN,NaN
King Khalid Internation Airport Schools (مدارس مطار الملك خالد الدولي),24.951914,46.652722,NaN,NaN,NaN,NaN
Fityou Fitness | Gym & Spa,24.776793,46.823015,NaN,NaN,NaN,NaN
Nails Tales Spa,24.691618,46.765942,NaN,NaN,NaN,NaN
Golden Dune Hotel Riyadh,24.688247,46.802913,Zubair Bin Al-'Awam 409,24.7100777,46.8159077,2.759691506435672
King Khalid International Airport 2,24.96126527,46.70230028,NaN,NaN,NaN,NaN
